arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
1110 4 1 1080 1 587538 3 1354 1110 1 14106072 166 3 4 651837 4 1353 1 1 1 19180 2.756 4.0 18.0 382.649663125 3 3 6
1125 4 1 1110 1 588884 7 1354 1270 2 14106072 167 4 4 587538 3 1354 1 1 1 19180 0.561847878788 6.0 26.0 382.649663125 1 4 10
1305 1 1 1270 1 627764 0 1353 1440 2 14106072 168 3 4 588884 7 1354 1 1 1 19180 2.178 4.0 18.0 382.649663125 2 5 6
1050 4 1 1020 2 592076 5 1354 1085 1 14106071 169 4 1 653830 0 1353 1 1 1 19173 2.882 4.0 18.0 1181.91903308 1 1 16
1110 3 1 1085 2 651334 6 1320 1155 1 14106071 170 4 4 592076 5 1354 1 1 1 19173 1.724 7.0 25.0 1181.91903308 2 2 16
1175 1 1 1155 2 653830 0 1353 1440 2 14106071 171 4 3 651334 6 1320 1 1 1 19173 1.456 7.0 23.0 1181.91903308 1 3 16
355 4 1 280 1 902738 1 1355 840 1 14106071 172 6 1 653830 0 1353 3 2 1 19174 0.0 30.0 48.0 1107.73096927 1 1 28
980 1 1 840 1 653830 0 1353 1020 2 14106071 173 6 4 902738 1 1355 3 2 1 19174 0.0 30.0 51.0 1107.73096927 1 2 28
1050 4 1 1020 1 592076 5 1354 1085 1 14106071 174 4 1 653830 0 1353 1 2 2 19175 2.882 4.0 18.0 1107.73096927 1 3 16
1110 3 1 1085 1 651334 6 1320 1155 1 14106071 175 4 4 592076 5 1354 1 2 2 19175 1.724 7.0 25.0 1107.73096927 2 4 16
1175 1 1 1155 1 653830 0 1353 1440 2 14106071 176 4 3 651334 6 1320 1 2 2 19175 1.456 7.0 23.0 1107.73096927 1 5 16
580 2 1 550 1 719433 1 1325 870 1 14106071 177 3 1 653830 0 1353 1 3 1 19176 3.188 8.0 27.0 1263.91256669 1 1 28
